State,Year,County,Total,Commissioned Male ,Commissioned Female ,Civilian Male ,Civilian Female ,Arson,Arsons Arrests,Juvenile Arsons Arrests,Aggravated Assault,Aggravated Assaults Arrests,Juvenile Aggravated Assault Arrests,Rape,Rape Arrests,Juvenile Rape Arrests,Burglary,Burglary Arrests,Juvenile Burglary Arrests,Murder,Murder Arrests,Juvenile Murder Arrests,Robbery,Robbery Arrests,Juvenile Robbery Arrests,Drug Violation Arrests,Juvenile Drug Violation Arrests,Total Arrests,Total Juvenile Arrests,Juvenile Theft Arrests,Theft Arrests,Theft,Population,Commissioned Total,Civilian Total,Total Employees,Total Population,Female Population (0-11),Female Population (12-17),Female Population (18-39),Female Population (40+),Total Female Population,Male Population (0-11),Male Population (12-17),Male Population (18-39),Male Population (40+),Total Male Population,Animal Cruelty,Bribery,Destruction of Property,Drug Violation,Extortion,Counterfeiting or Forgery,Gambling Violation,Human Trafficking,Kidnapping,Man Slaughter,Non Forcibly Sex,Pornography,Total Property Crime,Prostitution,Total Person Crime,Total Societal Crime,No Contact Order Violation,Weapon Violation,Other Crimes Arrests,Animal Cruelty Arrests,Bribery Arrests,Destruction of Property Arrests,Extortion Arrests,Counterfeiting or Forgery Arrests,Gambling Violation Arrests,"Group B offense Arrests (driving under influence,  liquor violation etc)",Hack or Computer Invasion Arrests,Human Trafficking Arrests,Kidnapping Arrests,Manslaughter Arrests,Non Forcibly Sex Arrests,Pornography Arrests,Prostitution Arrests,No Contact Order Violation Arrests,Weapon Violation Arrests,Aggravated Assaults Sentenced,Burglary Sentenced,Drug Violation Sentenced,Manslaughter Sentenced,Murder Sentenced,Other Crimes Sentenced,Other Property Crimes Sentenced,Robbery Sentenced,Sex Crime Sentences,Total Sentenced,Unknown Crimes Sentenced,Juvenile Other Felony Crimes Sentenced,Juvenile Animal Cruelty Arrests,Juvenile Bribery Arrests,Juvenile Destruction of Property Arrests,Juvenile Extortion Arrests,Juvenile Counterfeiting or Forgery Arrests,"Juvenile Group B offense Arrests (driving under influence,  liquor violation etc)",Juvenile Hack or Computer Invasion Arrests,Juvenile Kidnapping Arrests,Juvenile Manslaughter Arrests,Juvenile Non Forcibly Sex Arrests,Juvenile Pornography Arrests,Juvenile Prostitution Arrests,Juvenile No Contact Order Violation Arrests,Juvenile Weapon Violation Arrests,FIPS Code
Washington,2000,THURSTON,8575,231,26,15,60,68,1,0,332,71,0,117,12,0,1922,70,0,2,2,0,106,25,0,642,0,4187,0,0,598,6028,204300,257,75,332,207355,16291,9158,31442,48921,105812,17096,9982,31252,43213,101543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,45,114,3,1,26,77,30,12,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53067
Washington,1999,MASON,2857,70,3,27,28,7,2,0,103,61,0,34,8,0,859,64,0,2,2,0,24,10,0,174,0,2362,0,0,246,1828,48600,73,55,128,48513,3545,2105,5638,12136,23425,3790,2190,7126,11978,25088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,14,2,4,7,14,4,6,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53045
Washington,1994,PACIFIC,807,25,1,4,10,2,0,0,44,17,0,7,4,0,254,12,0,2,1,0,1,0,0,72,0,998,0,0,33,497,20300,26,14,40,20306,1483,802,2328,5638,10252,1599,954,2408,5091,10054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,1,1,2,5,1,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53049
Washington,2007,KITTITAS,1969,74,2,3,20,7,3,5,35,16,2,17,6,2,407,39,7,0,1,0,11,3,1,266,18,2307,188,42,163,1492,38300,76,23,99,38300,2256,1281,7346,8363,19246,2304,1387,7439,7924,19054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,23,0,0,1,11,0,1,42,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53037
Washington,2011,WALLA WALLA,2119,74,3,10,26,15,0,0,109,49,1,33,6,2,362,22,12,3,2,0,23,10,1,149,57,1314,444,80,250,1574,58800,77,36,113,58800,4232,2229,8325,14169,28954,4336,2290,9893,13326,29846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,23,0,0,5,13,1,4,64,1,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53071
Washington,2015,THURSTON,15941,236,26,18,54,38,8,4,2232,1137,151,217,37,3,1765,164,28,3,2,0,118,48,4,384,43,6074,469,77,1129,7584,267603,262,72,334,267410,18570,9756,38139,70446,136912,19915,10451,37452,62680,130498,0,0,2053,709,7,314,0,0,73,0,10,15,11879,2,3225,837,690,111,0,0,0,166,3,52,0,2608,0,0,21,0,4,2,0,280,29,81,26,74,4,3,38,102,12,16,356,0,0,0,0,26,1,1,117,0,1,0,1,0,0,4,8,53067
Washington,2011,LINCOLN,181,17,0,8,3,2,0,1,8,5,0,1,0,0,56,6,5,0,0,0,1,0,0,34,4,176,33,6,5,113,10600,17,11,28,10600,737,426,960,3182,5305,743,460,979,3114,5295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53043
Washington,1994,BENTON,6225,164,12,5,37,45,5,0,265,118,0,70,16,0,802,86,0,4,1,0,61,21,0,420,0,7270,0,0,721,4978,127000,176,42,218,125683,12675,6233,19926,24523,63362,13293,6434,19657,22929,62321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,20,0,4,4,13,7,12,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53005
Washington,2006,WALLA WALLA,2114,79,3,11,26,7,0,0,104,37,12,45,5,1,323,18,7,1,0,0,14,3,5,122,11,1222,496,91,170,1620,57900,82,37,119,57900,4113,2366,8178,13751,28410,4413,2468,10043,12563,29490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,43,0,0,1,12,1,6,77,0,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53071
Washington,2001,FERRY,82,12,0,4,11,2,1,0,3,7,0,0,1,0,33,17,0,0,0,0,0,0,0,11,0,172,0,0,10,44,7300,12,15,27,7300,538,367,824,1784,3513,584,452,847,1906,3787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,1,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53019
